Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,4,police,police
4,7,demande,request
6,9,mois,month
7,11,laisser,let
8,12,car,because
9,13,mettre,to put
10,15,laisse,leash
11,16,eux,them
13,18,parlé,speak
14,19,arrivé,come
15,22,longtemps,long time
17,27,aucune,any
18,28,place,square
19,29,parle,speak
21,31,savais,knew
22,32,étaient,were
23,33,attention,Warning
24,34,voici,here is
26,36,affaire,case
27,37,donner,give
28,38,type,type
29,39,leurs,their
30,40,donné,given
31,41,train,train
33,43,endroit,place
34,44,façon,way
35,45,écoute,listen
36,46,dont,whose
37,50,main,hand
38,51,première,first
39,53,pouvoir,power
40,54,vieux,old
41,55,sois,be
42,56,tiens,here
43,58,tellement,so much
44,59,enfant,child
46,62,suite,after
47,63,pardon,sorry
48,64,venez,come
49,65,devant,in front of
51,67,minutes,minutes
52,68,chambre,bedroom
53,69,mis,placed
54,70,belle,beautiful
55,71,droit,law
56,72,aimerais,would like to
59,76,enfin,finally
61,78,eau,water
62,79,attendez,Wait
65,83,dirait,would say
67,87,loin,far
68,88,croire,believe
69,89,chérie,sweetheart
70,90,gros,large
71,91,plutôt,rather
72,92,aura,will have
73,93,filles,girls
74,94,jouer,to play
